FID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,HSIPTHEMES,NAICSCODE,NAICSDESCR,ST_VENDOR,WEBSITE,SOURCE,GOVT_LEVEL,TOT_STAFF,SPEC_EQUIP,x2,y2
971,CHEROKEE PUBLIC HEALTH SERVICES,712-225-6459,1000 SOUTH 2ND STREET, ,CHEROKEE,IA,51012,2173,CHEROKEE,19035,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://CHEROKEERMC.ORG/01CHERREGHOSP/03-SERVICES/03-13PUBLICHEALTH.PHP,TECHNIGRAPHICS,LOCAL,0, ,-10636747.6483,5272097.5071
972,ACADIAN REGIONAL OFFICE,337-262-5311,825 KALISTE SALOOM ROAD,BRANDYWINE III SUITE 100,LAFAYETTE,LA,70508,4284,LAFAYETTE,22055,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,HEALTH PROGRAM ADMINISTRATION,NAVTEQ,HTTP://WWW.DHH.LOUISIANA.GOV/OFFICES/PAGE.ASP?ID=223&DETAIL=5519,TECHNIGRAPHICS,STATE,0, ,-10243641.7968,3526620.6107
973,PIKE COUNTY HEALTH DEPARTMENT,870-285-3154,15 CADDO DRIVE, ,MURFREESBORO,AR,71958, ,PIKE,05109,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.HEALTHYARKANSAS.COM/UNITS/SWW.PHP#PIKE,ARGIO/ARDOH,LOCAL,0, ,-10429941.9048,4037433.4564
974,PLACER COUNTY HEALTH AND HUMAN SERVICES,530-889-7141,11484 B AVENUE, ,AUBURN,CA,95603,2603,PLACER,06061,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.PLACER.CA.GOV/HHS/HHS.HTM,TECHNIGRAPHICS,LOCAL,0, ,-13481348.0214,4712918.5125
975,POPE COUNTY HEALTH DEPARTMENT,479-968-6004,203 WEIR ROAD, ,RUSSELLVILLE,AR,72802,9405,POPE,05115,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.HEALTHYARKANSAS.COM/UNITS/NWS.PHP#POPE,ARGIO/ARDOH,LOCAL,0, ,-10364670.0048,4201982.3074
976,WAGONER COUNTY HEALTH DEPARTMENT,918-485-3022,212 NORTH PIERCE AVENUE, ,WAGONER,OK,74467,4128,WAGONER,40145,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.OK.GOV/HEALTH/COUNTY_HEALTH_DEPARTMENTS/WAGONER_COUNTY_HEALTH_DEPARTMENT/,TECHNIGRAPHICS,LOCAL,0, ,-10618381.758,4295376.8144
977,SUMMIT COUNTY PUBLIC HEALTH DEPARTMENT,970-668-9161,360 PEAK ONE BOULEVARD,2ND FLOOR,FRISCO,CO,80443, ,SUMMIT,08117,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.SUMMIT.CO.US/PUBLIC_HEALTH/INDEX.HTM,TECHNIGRAPHICS,LOCAL,0, ,-11809302.0487,4804013.9689
978,NIOBRARA COUNTY PUBLIC HEALTH,307-334-2609,611 EAST 6TH STREET, ,LUSK,WY,82225, ,NIOBRARA,56027,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-11626775.7577,5275324.5185
979,SAINT CROIX COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,715-246-6991,1445 NORTH 4TH STREET, ,NEW RICHMOND,WI,54017,1063,ST CROIX,55109,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.SAINT-CROIX.WI.US/DEPARTMENTS/HHS/HHS.HTM,WIDHS,LOCAL,0, ,-10303970.6675,5642146.8332
980,WYOMING DEPARTMENT OF HEALTH,307-777-7656,2300 CAPITOL AVENUE, ,CHEYENNE,WY,82001,3644,LARAMIE,56021,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,HEALTH PROGRAM ADMINISTRATION,NAVTEQ,HTTP://WWW.HEALTH.WYO.GOV/,TECHNIGRAPHICS,STATE,0, ,-11668471.9964,5032830.9627
981,IMPERIAL COUNTY PUBLIC HEALTH DEPARTMENT,760-482-4438,935 BROADWAY STREET, ,EL CENTRO,CA,92243,2349,IMPERIAL,06025,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.ICPHD.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-12864443.1342,3867935.7261
982,STATE OF HAWAII DEPARTMENT OF HEALTH - KAUAI COUNTY,808-241-3614,3040 UMI STREET, ,LIHUE,HI,96766,1356,KAUAI,15007,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://HAWAII.GOV/HEALTH/NEIGHBOR/KAUAI/INDEX.HTML,TECHNIGRAPHICS,LOCAL,0, ,-17740595.6391,2508467.5457
983,SISKIYOU COUNTY PUBLIC HEALTH DEPARTMENT,530-841-2100,806 SOUTH MAIN STREET, ,YREKA,CA,96097,3321,SISKIYOU,06093,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.NORCALBT.COM/COUNTYSISKIYOU/DEFAULT.HTM,TECHNIGRAPHICS,LOCAL,0, ,-13652017.0469,5119814.152
984,SOUTHERN NEVADA HEALTH DISTRICT,702-759-1000,625 SHADOW LANE, ,LAS VEGAS,NV,89106,4118,CLARK,32003,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CCHD.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-12820058.645,4323128.5773
985,STANISLAUS COUNTY HEALTH SERVICES AGENCY,209-558-7000,830 SCENIC DRIVE, ,MODESTO,CA,95350,6131,STANISLAUS,06099,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.SCHSA.ORG/INDEX.HTML,TECHNIGRAPHICS,LOCAL,0, ,-13467689.1902,4529564.1191
986,TEHAMA COUNTY HEALTH SERVICES AGENCY - PUBLIC HEALTH DIVISION,530-527-6824,1860 WALNUT STREET, ,RED BLUFF,CA,96080,3611,TEHAMA,06103,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.TEHAMACOHEALTHSERVICES.NET/PUBLICHEALTH/DIRECTORY_PH.HTM,TECHNIGRAPHICS,LOCAL,0, ,-13609351.5441,4890638.8889
987,BEAVER COUNTY HEALTH DEPARTMENT,580-625-3693,UNITED STATES HIGHWAY 270, ,BEAVER,OK,73932, ,BEAVER,40007,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://BEAVERCOUNTY.ORG/RESOURCES/DEPARTMENT-OF-HEALTH.HTML,TECHNIGRAPHICS,LOCAL,0, ,-11189737.4863,4411117.784
988,NOME PUBLIC HEALTH NURSING,907-443-3221,306 WEST 5TH AVENUE, ,NOME,AK,99762, ,NOME,02180,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.NORTONSOUNDHEALTH.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-18412661.8525,9478442.4703
989,BLACK HAWK COUNTY HEALTH DEPARTMENT,319-291-2413,1407 INDEPENDENCE AVENUE,5TH FLOOR,WATERLOO,IA,50703,4300,BLACK HAWK,19013,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.BLACK-HAWK.IA.US/PUBHEALTH/HEALTH.HTM,TECHNIGRAPHICS,LOCAL,0, ,-10275568.6258,5236011.4318
990,DE BACA COUNTY PUBLIC HEALTH OFFICE,575-355-2362,643 5TH STREET,DE BACA ANNEX BUILDING SUITE A,FORT SUMNER,NM,88119, ,DE BACA,35011,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,NMDOH,LOCAL,0, ,-11604368.0882,4092405.4715
991,MARIN COUNTY HEALTH AND HUMAN SERVICES,415-499-3696,20 NORTH SAN PEDRO ROAD,SUITE 2028,SAN RAFAEL,CA,94903,4158,MARIN,06041,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.MARIN.CA.US/DEPTS/HH/MAIN/INDEX.CFM,TECHNIGRAPHICS,LOCAL,0, ,-13639853.0891,4578686.3302
992,STANLEY COUNTY HEALTH NURSE,605-223-7740,8 EAST 2ND AVENUE,STANLEY COUNTY COURTHOUSE,FORT PIERRE,SD,57532, ,STANLEY,46117,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-11173499.7612,5520597.8201
993,ANACONDA-DEER LODGE PUBLIC HEALTH DEPARTMENT,406-563-7863,115 WEST COMMERCIAL AVENUE, ,ANACONDA,MT,59711,2246,DEER LODGE,30023,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.ANACONDADEERLODGE.MT.GOV/DEPARTMENTS/PUBLIC_HEALTH.ASPX,TECHNIGRAPHICS,LOCAL,0, ,-12573933.0716,5801236.5745
994,DELTA JUNCTION PUBLIC HEALTH CENTER / INTERIOR REGION,907-895-4292,2857 ALASKA HIGHWAY,ROOM 210,DELTA JUNCTION,AK,99737, ,SOUTHEAST FAIRBANKS,02240,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,HEALTH PROGRAM ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,STATE,0, ,-16218632.1151,9356591.896
995,CAMDEN COUNTY HEALTH DEPARTMENT,573-346-5479,1976 NORTH STATE HIGHWAY 5 BUSINESS ROUTE, ,CAMDENTON,MO,65020, ,CAMDEN,29029,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CAMDENMO.ORG/HEALTH/INDEX.HTM,TECHNIGRAPHICS,LOCAL,0, ,-10326853.597,4583338.9728
996,BRADLEY COUNTY HEALTH UNIT - WARREN,870-226-8440,208 NORTH BRAGG STREET, ,WARREN,AR,71671,2500,BRADLEY,05011,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.HEALTHYARKANSAS.COM/UNITS/SEN.PHP#BRADLEY,ARGIO/ARDOH,LOCAL,0, ,-10250081.5412,3976728.7072
997,SOUTH DISTRICT HEALTH DEPARTMENT,208-455-5300,920 MAIN STREET, ,CALDWELL,ID,83605,3748,CANYON,16027,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.PUBLICHEALTHIDAHO.COM/,TECHNIGRAPHICS,LOCAL,0, ,-12989424.0794,5413684.2359
998,SOUTH CENTRAL PUBLIC HEALTH DISTRICT,208-737-5900,1020 WASHINGTON STREET NORTH, ,TWIN FALLS,ID,83301,3156,TWIN FALLS,16083,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,WWW.PHD5.IDAHO.GOV,TECHNIGRAPHICS,LOCAL,0, ,-12743654.904,5248210.0822
999,SAN BENITO COUNTY HEALTH DEPARTMENT,831-637-5367,439 4TH STREET, ,HOLLISTER,CA,95023,3801,SAN BENITO,06069,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.SANBENITOCO.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-13514692.2517,4418541.6276
1000,SANTA CLARA COUNTY PUBLIC HEALTH DEPARTMENT,408-792-5050,976 LENZEN AVENUE, ,SAN JOSE,CA,95126,2737,SANTA CLARA,06085,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.SCCGOV.ORG/PORTAL/SITE/PHD,TECHNIGRAPHICS,LOCAL,0, ,-13571158.4012,4485805.2764
1001,SHASTA COUNTY PUBLIC HEALTH DEPARTMENT,530-225-5591,2650 BRESLAUER WAY, ,REDDING,CA,96001,4246,SHASTA,06089,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.SHASTA.CA.US/HTML/PUBLIC_HEALTH/PH_INDEX.HTM,TECHNIGRAPHICS,LOCAL,0, ,-13623234.0944,4946164.2418
1002,KLAMATH COUNTY HEALTH DEPARTMENT,541-882-8846,403 PINE STREET, ,KLAMATH FALLS,OR,97601,6061,KLAMATH,41035,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.KLAMATH.OR.US/HEALTHDEPT/INDEX.HTM,TECHNIGRAPHICS,LOCAL,0, ,-13557037.4514,5194617.9807
1003,CONWAY COUNTY HEALTH UNIT - MORRILTON,501-354-4652,100 HOSPITAL DRIVE, ,MORRILTON,AR,72110,4516,CONWAY,05029,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.HEALTHYARKANSAS.COM/UNITS/NWN.PHP#CONWAY,ARGIO/ARDOH,LOCAL,0, ,-10321696.7797,4186591.6001
1004,VENTURA COUNTY PUBLIC HEALTH DEPARTMENT,805-981-5172,2240 EAST GONZALES ROAD, ,OXNARD,CA,93036,8210,VENTURA,06111,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.VCHCA.ORG/PH/INDEX.HTM,TECHNIGRAPHICS,LOCAL,0, ,-13263369.1357,4058110.469
1005,TEXAS DEPARTMENT OF STATE HEALTH SERVICES - HALLETTSVILLE,361-798-4371,1309 EAST CEMETERY ROAD, ,HALLETTSVILLE,TX,77964,4531,LAVACA,48285,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-10790457.9255,3432820.719
1006,WABASHA COUNTY PUBLIC HEALTH,651-565-5200,107 EAST 3RD STREET, ,WABASHA,MN,55981,1470,WABASHA,27157,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.WABASHA.MN.US/INDEX.PHP?OPTION=COM_CONTENT&TASK=CATEGORY&SECTIONID=4&ID=46&ITEMID=78,TECHNIGRAPHICS,LOCAL,0, ,-10245012.7026,5524710.0957
1007,FIRST DISTRICT HEALTH UNIT,701-852-1376,801 11TH AVENUE SOUTHWEST, ,MINOT,ND,58701,4274,WARD,38101,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.FDHU.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-11277155.2684,6144359.5266
1008,SAINT JOSEPH'S AREA HEALTH SERVICES,218-732-4552,600 PLEASANT AVENUE, ,PARK RAPIDS,MN,56470,1431,HUBBARD,27057,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.SJAHS.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-10582290.2428,5928448.8155
1009,LAKE REGION DISTRICT HEALTH UNIT,701-662-7035,524 4TH AVENUE NORTHEAST,UNIT 9,DEVILS LAKE,ND,58301,2490,RAMSEY,38071,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.NDHEALTH.GOV/LOCALHD/LRDHU/,TECHNIGRAPHICS,LOCAL,0, ,-11005027.123,6125763.5319
1010,SAINT MARTIN PARISH HEALTH UNITS,337-394-3097,301 WEST PORT STREET, ,SAINT MARTINVILLE,LA,70582,3923,ST MARTIN,22099,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.STMARTINPARISH-LA.ORG/DEPTHEALTH.HTML,TECHNIGRAPHICS,LOCAL,0, ,-10222752.3372,3519346.9885
1011,SAINT LANDRY PARISH HEALTH UNIT,337-948-0220,308 WEST BLOCH STREET, ,OPELOUSAS,LA,70570,5214,ST LANDRY,22097,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ, ,TECHNIGRAPHICS,LOCAL,0, ,-10250860.4738,3572968.8492
1012,SAINT LOUIS COUNTY PUBLIC HEALTH AND HUMAN SERVICES,218-725-5200,325 WEST 1ST STREET,ARVIG BUILDING SUITE 300,DULUTH,MN,55802,1605,ST LOUIS,27137,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.ST-LOUIS.MN.US/SLCPORTAL/SITEMAP/HOMEPAGE/DEPARTMENTS/PUBLICHEALTHANDHUMANSERVICES/TABID/86/DEFAULT.ASPX,TECHNIGRAPHICS,LOCAL,0, ,-10252957.2537,5906961.0218
1013,EL DORADO COUNTY PUBLIC HEALTH DEPARTMENT,530-621-6100,931 SPRING STREET, ,PLACERVILLE,CA,95667,4543,EL DORADO,06017,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.EL-DORADO.CA.US/PUBLICHEALTH,TECHNIGRAPHICS,LOCAL,0, ,-13447645.9324,4683512.9657
1014,TREASURE COUNTY PUBLIC HEALTH,406-342-5886,405 1/2 PIONEER AVENUE, ,HYSHAM,MT,59038, ,TREASURE,30103,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.TREASURECOUNTYHEALTH.COM/,TECHNIGRAPHICS,LOCAL,0, ,-11936999.8367,5827586.4202
1015,UINTA COUNTY PUBLIC HEALTH,307-789-9203,350 CITY VIEW DRIVE,SUITE 101,EVANSTON,WY,82930,5305,UINTA,56041,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.UINTACOUNTY.COM/INDEX.ASP?NID=42,TECHNIGRAPHICS,LOCAL,0, ,-12351467.8441,5050074.7824
1016,ESTANCIA PUBLIC HEALTH OFFICE,505-384-2351,300 SOUTH 8TH STREET, ,ESTANCIA,NM,87016, ,TORRANCE,35057,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,HEALTH PROGRAM ADMINISTRATION,NAVTEQ, ,NMDOH,STATE,0, ,-11806512.7081,4131161.3101
1017,NEVADA COUNTY PUBLIC HEALTH DEPARTMENT,530-265-1450,500 CROWN POINT CIRCLE,SUITE 110,GRASS VALLEY,CA,95945,9514,NEVADA,06057,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://NEW.MYNEVADACOUNTY.COM/PH/INDEX.CFM,TECHNIGRAPHICS,LOCAL,0, ,-13473142.3955,4753231.8055
1018,RIVERSIDE COUNTY PUBLIC HEALTH DEPARTMENT,951-358-5000,4065 COUNTY CIRCLE DRIVE, ,RIVERSIDE,CA,92503,3410,RIVERSIDE,06065,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.RIVCOPH.ORG/,TECHNIGRAPHICS,LOCAL,0, ,-13075596.1486,4017612.1707
1019,SOUTH CENTRAL PUBLIC HEALTH DISTRICT - BELLEVUE OFFICE,208-788-4335,117 EAST ASH STREET, ,BELLEVUE,ID,83313, ,BLAINE,16013,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.PHD5.IDAHO.GOV/OFFICES/INDEX.HTM,TECHNIGRAPHICS,LOCAL,0, ,-12719634.1709,5383829.4468
1020,CALAVERAS COUNTY PUBLIC HEALTH DEPARTMENT,209-754-6460,891 MOUNTAIN RANCH ROAD, ,SAN ANDREAS,CA,95249,9713,CALAVERAS,06009,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.CO.CALAVERAS.CA.US/DEPARTMENTS/PUB_HEALTH/PHD_MAIN.HTML,TECHNIGRAPHICS,LOCAL,0, ,-13432632.1281,4606456.4736
1021,WASHINGTON COUNTY HEALTH UNIT,479-521-8181,3270 WIMBERLY DRIVE, ,FAYETTEVILLE,AR,72703,4032,WASHINGTON,05143,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; HEALTH SERVICES; PUBLIC HEALTH OFFICES, STATE AND LOCAL",923120,COMMUNITY HEALTH PROGRAMS ADMINISTRATION,NAVTEQ,HTTP://WWW.HEALTHYARKANSAS.COM/UNITS/NWS_P2.PHP#WASHINGTON,ARGIO/ARDOH,LOCAL,0, ,-10481108.7083,4315792.7192
